Window_Pair;Enhancer_CTCF;RNAPII-S2p_CTCF;RNAPII-S7p_RNAPII-S2p;RNAPII-S2p_RNAPII-S2p;Tcf3_EP300;H3K9me3_H3K9me3;ZC3H11A_CTCF;EP300_NANOG;Enhancer_MAFK;RNAPII-S7p_Enhancer;Tcf3_Enhancer;RNAPII-S5p_RNAPII-S2p;Tcf3_RNAPII-S2p;RNAPII-S2p_Oct4;HCFC1_NANOG;RNAPII-S2p_NANOG;Tcf3_CTCF;RNAPII-S5p_Enhancer;Tcf3_MAFK;EP300_ZNF384;RNAPII-S2p_Enhancer;Tcf3_NANOG;Enhancer_NANOG;H3K9me3_Enhancer
chr5:133400000-133440000&chr5:130400000-130440000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr8:81080000-81120000&chr8:78640000-78680000;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
chr8:126000000-126040000&chr8:122800000-122840000;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
chr6:148480000-148520000&chr6:145680000-145720000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr13:3600000-3640000&chr13:3520000-3560000;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1
chr11:94240000-94280000&chr11:93880000-93920000;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
chr6:144840000-144880000&chr6:141480000-141520000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr3:61040000-61080000&chr3:57680000-57720000;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
chr9:80800000-80840000&chr9:79720000-79760000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
chr16:9320000-9360000&chr16:8840000-8880000;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0
chr11:57520000-57560000&chr11:54040000-54080000;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chr15:89280000-89320000&chr15:89240000-89280000;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1
chr13:47120000-47160000&chr13:43120000-43160000;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
chr16:20800000-20840000&chr16:19400000-19440000;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0
chr12:45600000-45640000&chr12:45120000-45160000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
